,Dates,Score,Change in SPY,predicted_change,true_change
606,5/31/22,1.35070002,9.950012207,1.477683,87.29311528964301
607,6/1/22,2.011,-2.33001709,1.4809579,-22.719673446491957
608,6/2/22,2.2682216,-3.339996338,1.4782343,-31.76774906185296
609,6/3/22,1.914247433,7.800018311,1.4889387,68.03201920069385
610,6/6/22,1.28025,-6.850006104,1.4912524,-63.212785023050834
611,6/7/22,1.957815,1.25,1.507016,9.3525353625
612,6/8/22,3.660424,3.949981689,1.5137745,33.54079322080614
613,6/9/22,-0.01549499,-4.519989014,1.5125397,-42.33891968655888
614,6/10/22,1.549503,-9.779998779,1.5135701,-89.46163650029808
615,6/13/22,0.17,-11.64001465,1.5153885,-106.12491377050547
616,6/14/22,-0.449022653,-14.79998779,1.5127397,-134.43408543898093
617,6/15/22,0.13693289,-1.130004883,1.5120739,-11.969154354348941
618,6/16/22,0.12434468,5.33001709,1.5068003,45.90408156049196
619,6/17/22,2.9709447,-12.55001831,1.4989027,-114.27734060723517
620,6/20/22,0.2455136,-0.790008545,1.4921697,-8.923237736495977
621,6/21/22,-0.399099,9.210021973,1.4883113,80.6637834443409
622,6/22/22,1.7985,-0.679992676,1.4820524,-7.937641345705925
623,6/23/22,0.848004,3.66998291,1.4700534,31.03237522150804
624,6/24/22,1.8307844,12.01998901,1.4735233,105.83736426572418
625,6/27/22,0.2082,-1.489990234,1.471508,-15.194146038802117
626,6/28/22,1.215923,-7.940002441,1.4754707,-72.97770771544513
627,6/29/22,0.47995,-0.309997559,1.4817369,-4.622975423054866
628,6/30/22,0.63736,-3.089996338,1.4851891,-29.528080367352963
629,7/1/22,3.431178434,3.989990234,1.4880619,33.899216763802116
630,7/5/22,0.80506,0.720001221,1.4804009,4.604448668701903
631,7/6/22,0.324723449,1.290008545,1.4845964,9.710958905495977
632,7/7/22,2.4761,5.739990234,1.4912441,49.576897625302124
633,7/8/22,2.091923457,-0.319976807,1.4894425,-4.712376260415874
634,7/11/22,1.6204,-4.440002441,1.4921294,-41.62234599244513
635,7/12/22,1.18917,-3.400024414,1.4916705,-32.30552107228603
636,7/13/22,3.058732,-2.0,1.4979025,-19.763157665999998
637,7/14/22,3.3414272,-0.91998291,1.5004635,-10.087635802008043
638,7/15/22,3.3427316,7.220001221,1.5067575,62.83583472570191
639,7/18/22,1.5213,-3.179992676,1.5135068,-30.334328290705923
640,7/19/22,1.899462,10.31997681,1.5104457,90.6075078472919
641,7/20/22,1.77993089,2.5,1.518193,20.550878835
642,7/21/22,3.342957457,4.020019531,1.5269796,34.16823946943708
643,7/22/22,0.280366,-3.700012207,1.5268549,-34.99301414714301
644,7/25/22,0.2003,0.480010986,1.5275918,2.4544542034411103
645,7/26/22,2.5529,-4.679992676,1.5285778,-43.77234045770593
646,7/27/22,-0.377272543,10.1499939,1.5296583,89.08468623878385
647,7/28/22,4.72035,5.029998779,1.5219963,43.21631508479809
648,7/29/22,4.215713,5.91998291,1.5135087,51.18939347200804
649,8/1/22,0.35741,-1.220001221,1.5070605,-12.775402277701902
650,8/2/22,2.275232,-2.709991455,1.5094111,-26.12374020650402
651,8/3/22,1.55735,6.390014648,1.5110871,55.40025494808814
652,8/4/22,1.5462,-0.279998779,1.5134392,-4.354226109298096
653,8/5/22,2.786007,-0.700012207,1.509562,-8.116989813143014
654,8/8/22,-0.45,-0.480010986,1.5174401,-6.14607042344111
655,8/9/22,0.669402,-1.639984131,1.5240072,-16.537892580709947
656,8/10/22,1.46298903,8.639984131,1.519612,75.55699980670995
657,8/11/22,3.461304843,0.0,1.5249662,-1.8458081100000001
658,8/12/22,3.324798457,7.110015869,1.5102452,61.850511726790046
659,8/15/22,0.02081,1.759979248,1.4995841,13.921273588861006
660,8/16/22,1.281575,0.840026855,1.505272,5.679719288731162
661,8/17/22,1.459221,-3.050018311,1.5035211,-29.16993022519386
662,8/18/22,1.35951,1.240020752,1.5044978,9.263134525138991
663,8/19/22,2.04085,-5.75,1.5050606,-53.35818808349999
664,8/22/22,0.631204,-8.790008545,1.5006756,-80.59263596049595
665,8/23/22,2.518411,-1.0,1.5084774,-10.804482887999999
666,8/24/22,0.642346,1.320007324,1.5111685,9.979708210294074
667,8/25/22,1.622040568,5.839996338,1.5103587,50.47281978685295
668,8/26/22,0.89992889,-14.20001221,1.5018951,-129.05909934301903
669,8/29/22,0.3503456,-2.679992676,1.4944669,-25.85499090170592
670,8/30/22,2.371203,-4.420013428,1.4996257,-41.44327092584492
671,8/31/22,1.8879053,-3.029998779,1.4992373,-28.990581748798093
672,9/1/22,1.927823456,1.240020752,1.498334,9.263134525138991
673,9/2/22,0.663461,-4.180023193,1.4984034,-39.293276460584124
674,9/6/22,0.935068456,-1.479980469,1.4962478,-15.10447180956291
675,9/7/22,1.4387,7.019989014,1.4995576,61.04399041155889
676,9/8/22,2.4689936,2.600006104,1.4952465,21.446800996550845
677,9/9/22,3.162254,6.220001221,1.4985441,53.877159947701905
678,9/12/22,0.630125,4.369995117,1.4987222,37.30355692465106
679,9/13/22,1.3882,-17.86999512,1.5023495,-161.93728267452704
680,9/14/22,1.4966474,1.5,1.5079937,11.592204056999998
681,9/15/22,1.693443,-4.480010986,1.5054682,-41.980769535441105
682,9/16/22,3.811108,-4.559997559,1.5048325,-42.69734322955487
683,9/19/22,0.2301312,2.989990234,1.504658,24.940541985802117
684,9/20/22,0.82121,-4.459991455,1.5096021,-41.801421068004025
685,9/21/22,1.9169423,-6.699981689,1.5127664,-61.86876508030614
686,9/22/22,1.30151,-3.170013428,1.5132291,-30.244927453344914
687,9/23/22,1.569488089,-6.269989014,1.5092448,-58.01660054805888
688,9/26/22,-0.47,-3.640014648,1.5026262,-34.455515528588144
689,9/27/22,0.52093,-0.929992676,1.5052923,-10.177310040205924
690,9/28/22,0.61284389,7.149993896,1.5035911,62.20866186894915
691,9/29/22,1.959384,-7.739990234,1.5002756,-71.18586340130211
692,9/30/22,1.892590457,-5.610015869,1.4957736,-52.10411577979004
693,10/3/22,-0.097653521,9.429992676,1.4838141,82.63442943320592
694,10/4/22,0.952560857,11.36001587,1.4866837,99.92487954224872
695,10/5/22,0.70161,-0.880004883,1.4870914,-9.72948565984894
696,10/6/22,2.470344,-3.889984131,1.4831834,-36.694910831209945
697,10/7/22,1.8520553,-10.41000366,1.4822922,-95.10564533772967
698,10/10/22,0.4301,-2.770019531,1.4813081,-26.661512216937087
699,10/11/22,2.137949,-2.279998779,1.4887427,-22.271575665298094
