,Data,Positive Score,Negative Score,Neutral Score,Change in SPY,predicted_change,true_change
590,5/6/22,11.13386846,21.32499897,42.02507514,-15.25,0.32528996,2.5
591,5/9/22,1.473931015,17.93780559,22.30187786,-2.470001221,0.22961974,3.900024414
592,5/10/22,6.687905788,15.68353796,43.95247883,-13.16998291,0.83064103,-6.489990234
593,5/11/22,7.753676891,27.68109822,38.60495436,0.91998291,0.29186696,3.449981689
594,5/12/22,9.692740023,18.47136825,56.35002568,-6.339996338,0.21738288,-0.410003662
595,5/13/22,2.933919817,28.44856355,49.76861852,-0.410003662,0.20354512,-1.320007324
596,5/16/22,2.803513527,7.462757975,27.68937424,9.380004883,0.19540483,5.839996338
597,5/17/22,7.891160131,19.94284838,44.98472247,-1.630004883,0.2949202,-1.630004883
598,5/18/22,6.92597425,23.26210901,50.15437934,8.230010986,0.20390716,3.479980469
599,5/19/22,8.305373549,33.16279292,47.82641476,-16.46002197,0.26427484,-4.420013428
600,5/20/22,7.205705225,30.69591811,51.84155187,-2.399993896,0.3109378,0.410003662
601,5/23/22,1.085642248,8.690314651,25.17417368,0.170013428,0.36283612,-9.649993896
602,5/24/22,6.889724135,19.18259406,40.1661512,7.290008545,0.6579764,4.599975586
603,5/25/22,8.097768277,26.84169331,34.89075464,-3.029998779,0.23076135,1.100006104
604,5/26/22,7.34550631,23.94121462,45.10807604,3.479980469,0.1797984,0.179992676
605,5/27/22,7.361080587,22.54446131,40.18486106,7.940002441,0.4348582,-5.309997559
606,5/31/22,4.389582753,8.298731983,26.85701644,9.950012207,0.28953803,4.579986572
607,6/1/22,7.973837525,15.73609069,34.75494939,-2.33001709,0.19593316,-0.929992676
608,6/2/22,12.05002406,18.84611797,44.27827892,-3.339996338,0.44582954,10.71002197
609,6/3/22,7.863709867,23.64867118,57.99918199,7.800018311,0.38820726,5.739990234
610,6/6/22,5.820383728,7.548042536,19.92977962,-6.850006104,0.31550854,1.049987793
611,6/7/22,3.476316243,13.2939373,42.91442421,1.25,0.29430795,-9.16998291
612,6/8/22,7.391971946,30.03054115,40.83515239,3.949981689,0.47216174,-2.180023193
613,6/9/22,10.21795183,29.54953161,48.1702444,-4.519989014,0.4631257,-12.55001831
614,6/10/22,10.01034653,26.45068419,39.71598268,-9.779998779,0.17281023,-8.920013428
615,6/13/22,2.198377311,12.99551588,18.44440368,-11.64001465,0.23555511,8.880004883
616,6/14/22,7.902803659,22.53012031,36.09016758,-14.79998779,0.5142415,-0.790008545
617,6/15/22,5.999750972,36.43703455,39.25953722,-1.130004883,0.730411,5.029998779
618,6/16/22,10.03140277,29.92516285,42.24438387,5.33001709,0.23340678,3.949981689
619,6/17/22,11.8192682,26.35083929,52.42434123,-12.55001831,0.2191185,5.450012207
620,6/20/22,1.981491685,6.146985173,11.11594403,-0.790008545,0.17492451,7.070007324
621,6/21/22,4.101222277,14.79965049,15.54494464,9.210021973,0.21156046,-4.519989014
622,6/22/22,11.39257151,24.6065948,42.97547212,-0.679992676,0.1650219,1.759979248
623,6/23/22,7.869238079,32.03435534,43.2864258,3.66998291,0.2590308,5.199981689
624,6/24/22,11.76381934,26.7897312,44.55711523,12.01998901,0.29218632,-0.920013428
625,6/27/22,2.624130487,12.40414873,21.78055486,-1.489990234,1.3834839,2.369995117
626,6/28/22,5.568541467,10.82563543,46.43202525,-7.940002441,0.27851334,-4.180023193
627,6/29/22,7.518815607,24.61975878,53.87559155,-0.309997559,0.18406737,2.25
628,6/30/22,12.95559165,30.71773612,35.85581481,-3.089996338,0.6343623,-3.859985352
629,7/1/22,8.861468434,28.92519453,54.05953726,3.989990234,0.15836138,6.349975586
630,7/5/22,1.469762623,16.29246268,24.0825651,0.720001221,0.25133917,-6.850006104
631,7/6/22,8.695251822,25.85146627,34.41744223,1.290008545,0.26870686,1.240020752
632,7/7/22,7.447675556,21.63562512,47.1228995,5.739990234,0.16751623,-1.070007324
633,7/8/22,12.07763147,29.79348683,41.1467309,-0.319976807,0.47908127,2.989990234
634,7/11/22,0.787479997,14.46521845,20.51130706,-4.440002441,0.17023245,-3.400024414
635,7/12/22,3.590656519,21.58412331,35.18140048,-3.400024414,0.30508408,-4.149993896
636,7/13/22,7.822005689,19.64094692,51.05036265,-2.0,0.18043986,2.5
637,7/14/22,8.758032918,33.31881875,46.75696999,-0.91998291,0.24464673,-6.699981689
638,7/15/22,7.60973388,33.2942844,54.65741062,7.220001221,0.24091998,1.25
639,7/18/22,4.280855209,12.05739531,17.5033499,-3.179992676,0.1448746,-4.459991455
640,7/19/22,4.668708175,26.60450414,29.22997528,10.31997681,0.22985253,3.040008545
641,7/20/22,7.772867858,25.09644854,49.47452664,2.5,0.18630338,-1.690002441
642,7/21/22,12.56715414,23.49984074,48.09579444,4.020019531,0.25347805,0.910003662
643,7/22/22,11.8599771,29.45069227,43.31080127,-3.700012207,0.22550982,-0.129974365
644,7/25/22,4.400734723,9.231399417,21.48444897,0.480010986,0.307432,2.190002441
645,7/26/22,3.415037394,27.11344048,35.20596954,-4.679992676,0.25739402,-0.319976807
646,7/27/22,12.84037125,28.18465832,40.57383871,10.1499939,0.1492824,-2.409973145
647,7/28/22,12.92495012,26.97796267,50.36396283,5.029998779,0.19053787,3.450012207
648,7/29/22,16.6800186,39.84974679,49.14404243,5.91998291,0.24070978,-12.41000366
649,8/1/22,1.608125806,11.94488257,25.83181965,-1.220001221,0.28346282,0.619995117
650,8/2/22,5.316003829,20.88141036,33.44010782,-2.709991455,0.32283133,-4.510009766
651,8/3/22,12.83597612,29.37484926,32.79302329,6.390014648,0.26408228,7.08001709
652,8/4/22,7.835122049,23.58078051,43.46273726,-0.279998779,0.14943692,-1.440002441
653,8/5/22,8.071388781,30.80759576,46.21828228,-0.700012207,0.34478542,5.639984131
654,8/8/22,4.586514652,15.02073324,20.87552336,-0.480010986,0.29761866,3.5
655,8/9/22,8.265413493,26.54274106,41.86481407,-1.639984131,0.7131959,3.66998291
656,8/10/22,5.091692626,24.7760039,36.6817618,8.639984131,0.6073766,0.810028076
657,8/11/22,14.15658206,18.8214305,45.33997908,0.0,0.15311974,-0.670013428
658,8/12/22,4.841055214,23.22527862,36.96458033,7.110015869,0.25177416,3.220001221
659,8/15/22,2.055876851,10.11520362,23.19780755,1.759979248,0.2117351,0.790008545
660,8/16/22,5.62031883,14.56884143,35.6837098,0.840026855,0.21894029,-1.630004883
661,8/17/22,6.501827598,25.1104266,45.39329147,-3.050018311,0.84465146,-1.489990234
662,8/18/22,7.358420551,22.17058238,43.09591332,1.240020752,0.1946078,-7.649993896
663,8/19/22,5.237241924,22.37752873,41.4262214,-5.75,0.19607985,-2.279998779
664,8/22/22,3.433417618,7.775046587,24.4821195,-8.790008545,0.15840921,0.0
665,8/23/22,5.102175415,22.21226525,33.94584548,-1.0,0.23864546,7.149993896
666,8/24/22,6.419890344,23.25989309,28.39070362,1.320007324,0.32819387,6.600006104
667,8/25/22,7.301250875,30.45463663,34.69546741,5.839996338,0.2490964,0.720001221
668,8/26/22,6.06505847,24.49045736,44.67919058,-14.20001221,0.37671274,3.760009766
669,8/29/22,3.620241821,7.582488865,22.03572297,-2.679992676,0.18951347,0.399993896
670,8/30/22,5.705520511,13.2272082,39.67914975,-4.420013428,0.17950177,-0.709991455
671,8/31/22,5.259350419,20.66022521,38.64174962,-3.029998779,0.28245902,10.54000854
672,9/1/22,5.960532665,23.12282979,51.37879682,1.240020752,0.6005392,-0.880004883
673,9/2/22,5.481573105,28.16421553,38.63634965,-4.180023193,0.26865906,2.470001221
674,9/6/22,4.677705169,17.29447132,26.91417503,-1.479980469,0.21726799,-8.790008545
675,9/7/22,5.501058996,20.07713777,39.23763746,7.019989014,0.96901524,-1.089996338
676,9/8/22,6.60398972,23.80104014,48.38601014,2.600006104,0.36559436,-0.359985352
677,9/9/22,10.13183278,22.07577646,60.61368918,6.220001221,0.23965517,5.369995117
678,9/12/22,2.574563652,9.306094706,23.28110206,4.369995117,0.9477272,4.399993896
679,9/13/22,3.872495592,17.9769026,34.21974534,-17.86999512,0.73395264,-5.0
680,9/14/22,6.840290278,25.6375697,40.95463002,1.5,0.3559364,-3.760009766
681,9/15/22,8.359527469,29.55743787,43.32712343,-4.480010986,0.46676078,-4.440002441
682,9/16/22,9.523752034,16.2725732,56.32589257,-4.559997559,0.28249347,-2.0
683,9/19/22,1.425927818,12.00739449,25.8050434,2.989990234,1.3436254,-1.489990234
684,9/20/22,5.766806304,17.91603625,34.71170008,-4.459991455,0.28653893,5.91998291
